_id,MSYMPTOMID,TOCALLDATE,Repair_time,Average_repairtime_year,Average_repairtime_all,worksheets_closed,Average_worksheets_year
65407fde983e3aa5f5c6097b,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c6097c,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c6097d,Internet,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c6097e,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c6097f,Internet,Year_2560,36,4,2,V5,208
65407fde983e3aa5f5c60980,Internet,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60981,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60982,Telephony,Year_2560,5,4,2,V1,208
65407fde983e3aa5f5c60983,Telephony,Year_2560,4,4,2,V1,208
65407fde983e3aa5f5c60984,Internet,Year_2560,154,4,2,V5,208
65407fde983e3aa5f5c60985,Hardware,Year_2560,13,4,2,V2,208
65407fde983e3aa5f5c60986,Hardware,Year_2560,4,4,2,V1,208
65407fde983e3aa5f5c60987,Internet,Year_2560,4,4,2,V1,208
65407fde983e3aa5f5c60988,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60989,Hardware,Year_2560,4,4,2,V1,208
65407fde983e3aa5f5c6098a,Internet,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c6098b,Telephony,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c6098c,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c6098d,Telephony,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c6098e,Hardware,Year_2560,4,4,2,V1,208
65407fde983e3aa5f5c6098f,Hardware,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c60990,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60991,Hardware,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c60992,Telephony,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c60993,Hardware,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c60994,Software,Year_2560,3,4,2,V1,208
65407fde983e3aa5f5c60995,Hardware,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c60996,Telephony,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c60997,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60998,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60999,Software,Year_2560,3,4,2,V1,208
65407fde983e3aa5f5c6099a,Hardware,Year_2560,2,4,2,V1,208
65407fde983e3aa5f5c6099b,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c6099c,Telephony,Year_2560,2,4,2,V1,208
65407fde983e3aa5f5c6099d,Software,Year_2560,2,4,2,V1,208
65407fde983e3aa5f5c6099e,Telephony,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c6099f,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609a0,Internet,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609a1,Telephony,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c609a2,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609a3,Hardware,Year_2560,2,4,2,V1,208
65407fde983e3aa5f5c609a4,Software,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c609a5,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609a6,Hardware,Year_2560,2,4,2,V1,208
65407fde983e3aa5f5c609a7,Hardware,Year_2560,2,4,2,V1,208
65407fde983e3aa5f5c609a8,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609a9,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609aa,Hardware,Year_2560,2,4,2,V1,208
65407fde983e3aa5f5c609ab,Telephony,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c609ac,Others,Year_2560,7,4,2,V1,208
65407fde983e3aa5f5c609ad,Hardware,Year_2560,6,4,2,V1,208
65407fde983e3aa5f5c609ae,Hardware,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c609af,Telephony,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c609b0,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609b1,Internet,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609b2,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609b3,Internet,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609b4,Telephony,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609b5,Internet,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609b6,Hardware,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c609b7,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609b8,Hardware,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c609b9,Telephony,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c609ba,Internet,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609bb,Telephony,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609bc,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609bd,Internet,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609be,Telephony,Year_2560,3,4,2,V1,208
65407fde983e3aa5f5c609bf,Telephony,Year_2560,3,4,2,V1,208
65407fde983e3aa5f5c609c0,Hardware,Year_2560,3,4,2,V1,208
65407fde983e3aa5f5c609c1,Others,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609c2,Hardware,Year_2560,3,4,2,V1,208
65407fde983e3aa5f5c609c3,Hardware,Year_2560,3,4,2,V1,208
65407fde983e3aa5f5c609c4,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609c5,Hardware,Year_2560,2,4,2,V1,208
65407fde983e3aa5f5c609c6,Internet,Year_2560,3,4,2,V1,208
65407fde983e3aa5f5c609c7,Telephony,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609c8,Telephony,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609c9,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609ca,Telephony,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609cb,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609cc,Internet,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609cd,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609ce,Telephony,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609cf,Software,Year_2560,2,4,2,V1,208
65407fde983e3aa5f5c609d0,Telephony,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c609d1,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609d2,Hardware,Year_2560,5,4,2,V1,208
65407fde983e3aa5f5c609d3,Internet,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609d4,Telephony,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c609d5,Telephony,Year_2560,2,4,2,V1,208
65407fde983e3aa5f5c609d6,Hardware,Year_2560,21,4,2,V3,208
65407fde983e3aa5f5c609d7,Internet,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609d8,Telephony,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c609d9,Software,Year_2560,7,4,2,V1,208
65407fde983e3aa5f5c609da,Hardware,Year_2560,7,4,2,V1,208
65407fde983e3aa5f5c609db,Internet,Year_2560,5,4,2,V1,208
65407fde983e3aa5f5c609dc,Internet,Year_2560,4,4,2,V1,208
65407fde983e3aa5f5c609dd,Internet,Year_2560,9,4,2,V2,208
65407fde983e3aa5f5c609de,Telephony,Year_2560,5,4,2,V1,208
65407fde983e3aa5f5c609df,Telephony,Year_2560,5,4,2,V1,208
65407fde983e3aa5f5c609e0,Telephony,Year_2560,4,4,2,V1,208
65407fde983e3aa5f5c609e1,Internet,Year_2560,4,4,2,V1,208
65407fde983e3aa5f5c609e2,Telephony,Year_2560,3,4,2,V1,208
65407fde983e3aa5f5c609e3,Telephony,Year_2560,3,4,2,V1,208
65407fde983e3aa5f5c609e4,Hardware,Year_2560,4,4,2,V1,208
65407fde983e3aa5f5c609e5,Hardware,Year_2560,5,4,2,V1,208
65407fde983e3aa5f5c609e6,Hardware,Year_2560,6,4,2,V1,208
65407fde983e3aa5f5c609e7,Software,Year_2560,12,4,2,V2,208
65407fde983e3aa5f5c609e8,Hardware,Year_2560,4,4,2,V1,208
65407fde983e3aa5f5c609e9,Hardware,Year_2560,6,4,2,V1,208
65407fde983e3aa5f5c609ea,Others,Year_2560,4,4,2,V1,208
65407fde983e3aa5f5c609eb,Hardware,Year_2560,4,4,2,V1,208
65407fde983e3aa5f5c609ec,Telephony,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c609ed,Hardware,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c609ee,Software,Year_2560,59,4,2,V5,208
65407fde983e3aa5f5c609ef,Software,Year_2560,5,4,2,V1,208
65407fde983e3aa5f5c609f0,Telephony,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609f1,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609f2,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609f3,Internet,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c609f4,Others,Year_2560,16,4,2,V3,208
65407fde983e3aa5f5c609f5,Software,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609f6,Internet,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609f7,Internet,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609f8,Others,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609f9,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609fa,Internet,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c609fb,Internet,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c609fc,Hardware,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c609fd,Hardware,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c609fe,Others,Year_2560,3,4,2,V1,208
65407fde983e3aa5f5c609ff,Hardware,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c60a00,Internet,Year_2560,1,4,2,V1,208
65407fde983e3aa5f5c60a01,Software,Year_2560,9,4,2,V2,208
65407fde983e3aa5f5c60a02,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a03,Telephony,Year_2560,7,4,2,V1,208
65407fde983e3aa5f5c60a04,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a05,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a06,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a07,Telephony,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a08,Hardware,Year_2560,0,4,2,V1,208
65407fde983e3aa5f5c60a09,Hardware,Year_2560,1,4,2,V1,208
